subject_id,block_cnt,trial_cnt,trial_type,word,color,correct_key
1,1,1,mismatch,red,green,103
1,1,2,match,green,green,103
1,1,3,match,orange,orange,111
1,1,4,match,red,red,114
1,1,5,mismatch,blue,orange,111
1,1,6,mismatch,blue,orange,111
1,1,7,match,green,green,103
1,1,8,mismatch,red,green,103
1,1,9,mismatch,green,red,114
1,1,10,match,blue,blue,98
1,1,11,mismatch,green,red,114
1,1,12,match,blue,blue,98
1,1,13,mismatch,orange,blue,98
1,1,14,match,orange,orange,111
1,1,15,mismatch,orange,blue,98
1,1,16,match,red,red,114
1,2,1,mismatch,blue,orange,111
1,2,2,match,blue,blue,98
1,2,3,match,red,red,114
1,2,4,match,red,red,114
1,2,5,match,orange,orange,111
1,2,6,mismatch,green,red,114
1,2,7,match,green,green,103
1,2,8,match,green,green,103
1,2,9,mismatch,blue,orange,111
1,2,10,match,blue,blue,98
1,2,11,mismatch,orange,blue,98
1,2,12,mismatch,green,red,114
1,2,13,mismatch,red,green,103
1,2,14,mismatch,red,green,103
1,2,15,match,orange,orange,111
1,2,16,mismatch,orange,blue,98
2,1,1,mismatch,red,green,103
2,1,2,mismatch,red,green,103
2,1,3,match,blue,blue,98
2,1,4,match,blue,blue,98
2,1,5,match,green,green,103
2,1,6,mismatch,blue,orange,111
2,1,7,mismatch,blue,orange,111
2,1,8,mismatch,green,blue,98
2,1,9,match,red,red,114
2,1,10,match,red,red,114
2,1,11,mismatch,orange,red,114
2,1,12,mismatch,green,blue,98
2,1,13,mismatch,orange,red,114
2,1,14,match,orange,orange,111
2,1,15,match,green,green,103
2,1,16,match,orange,orange,111
2,2,1,mismatch,blue,orange,111
2,2,2,mismatch,green,blue,98
2,2,3,mismatch,red,green,103
2,2,4,match,red,red,114
2,2,5,match,green,green,103
2,2,6,match,blue,blue,98
2,2,7,match,blue,blue,98
2,2,8,mismatch,green,blue,98
2,2,9,match,orange,orange,111
2,2,10,mismatch,red,green,103
2,2,11,match,red,red,114
2,2,12,mismatch,orange,red,114
2,2,13,match,green,green,103
2,2,14,mismatch,blue,orange,111
2,2,15,match,orange,orange,111
2,2,16,mismatch,orange,red,114
3,1,1,match,blue,blue,98
3,1,2,mismatch,red,green,103
3,1,3,mismatch,orange,blue,98
3,1,4,mismatch,blue,red,114
3,1,5,mismatch,blue,red,114
3,1,6,match,green,green,103
3,1,7,mismatch,red,green,103
3,1,8,match,orange,orange,111
3,1,9,match,orange,orange,111
3,1,10,match,red,red,114
3,1,11,mismatch,green,orange,111
3,1,12,match,blue,blue,98
3,1,13,mismatch,orange,blue,98
3,1,14,match,green,green,103
3,1,15,mismatch,green,orange,111
3,1,16,match,red,red,114
3,2,1,match,orange,orange,111
3,2,2,match,red,red,114
3,2,3,mismatch,red,green,103
3,2,4,mismatch,blue,red,114
3,2,5,match,blue,blue,98
3,2,6,mismatch,orange,blue,98
3,2,7,match,green,green,103
3,2,8,match,blue,blue,98
3,2,9,mismatch,green,orange,111
3,2,10,mismatch,red,green,103
3,2,11,mismatch,blue,red,114
3,2,12,mismatch,green,orange,111
3,2,13,match,red,red,114
3,2,14,match,green,green,103
3,2,15,mismatch,orange,blue,98
3,2,16,match,orange,orange,111
4,1,1,match,green,green,103
4,1,2,mismatch,red,blue,98
4,1,3,mismatch,red,blue,98
4,1,4,match,green,green,103
4,1,5,match,blue,blue,98
4,1,6,mismatch,blue,orange,111
4,1,7,match,red,red,114
4,1,8,match,blue,blue,98
4,1,9,match,orange,orange,111
4,1,10,match,red,red,114
4,1,11,mismatch,blue,orange,111
4,1,12,mismatch,green,red,114
4,1,13,mismatch,green,red,114
4,1,14,match,orange,orange,111
4,1,15,mismatch,orange,green,103
4,1,16,mismatch,orange,green,103
4,2,1,match,green,green,103
4,2,2,match,blue,blue,98
4,2,3,mismatch,green,red,114
4,2,4,match,red,red,114
4,2,5,mismatch,orange,green,103
4,2,6,mismatch,orange,green,103
4,2,7,mismatch,green,red,114
4,2,8,match,orange,orange,111
4,2,9,match,green,green,103
4,2,10,match,orange,orange,111
4,2,11,mismatch,blue,orange,111
4,2,12,mismatch,red,blue,98
4,2,13,mismatch,red,blue,98
4,2,14,match,blue,blue,98
4,2,15,match,red,red,114
4,2,16,mismatch,blue,orange,111
5,1,1,match,orange,orange,111
5,1,2,mismatch,red,blue,98
5,1,3,mismatch,orange,green,103
5,1,4,match,red,red,114
5,1,5,mismatch,blue,red,114
5,1,6,mismatch,blue,red,114
5,1,7,mismatch,orange,green,103
5,1,8,mismatch,green,orange,111
5,1,9,match,green,green,103
5,1,10,mismatch,green,orange,111
5,1,11,mismatch,red,blue,98
5,1,12,match,blue,blue,98
5,1,13,match,red,red,114
5,1,14,match,orange,orange,111
5,1,15,match,blue,blue,98
5,1,16,match,green,green,103
5,2,1,match,blue,blue,98
5,2,2,match,red,red,114
5,2,3,mismatch,orange,green,103
5,2,4,mismatch,green,orange,111
5,2,5,match,blue,blue,98
5,2,6,match,red,red,114
5,2,7,match,green,green,103
5,2,8,mismatch,orange,green,103
5,2,9,mismatch,blue,red,114
5,2,10,match,green,green,103
5,2,11,mismatch,red,blue,98
5,2,12,match,orange,orange,111
5,2,13,mismatch,blue,red,114
5,2,14,mismatch,red,blue,98
5,2,15,match,orange,orange,111
5,2,16,mismatch,green,orange,111
6,1,1,match,green,green,103
6,1,2,mismatch,orange,red,114
6,1,3,match,green,green,103
6,1,4,match,orange,orange,111
6,1,5,mismatch,green,orange,111
6,1,6,mismatch,blue,green,103
6,1,7,mismatch,red,blue,98
6,1,8,match,red,red,114
6,1,9,match,red,red,114
6,1,10,mismatch,blue,green,103
6,1,11,match,blue,blue,98
6,1,12,mismatch,orange,red,114
6,1,13,mismatch,green,orange,111
6,1,14,mismatch,red,blue,98
6,1,15,match,orange,orange,111
6,1,16,match,blue,blue,98
6,2,1,mismatch,blue,green,103
6,2,2,mismatch,green,orange,111
6,2,3,mismatch,green,orange,111
6,2,4,match,orange,orange,111
6,2,5,match,red,red,114
6,2,6,match,green,green,103
6,2,7,match,red,red,114
6,2,8,mismatch,orange,red,114
6,2,9,mismatch,red,blue,98
6,2,10,match,green,green,103
6,2,11,match,blue,blue,98
6,2,12,mismatch,red,blue,98
6,2,13,match,blue,blue,98
6,2,14,mismatch,blue,green,103
6,2,15,match,orange,orange,111
6,2,16,mismatch,orange,red,114
7,1,1,match,red,red,114
7,1,2,mismatch,red,orange,111
7,1,3,match,orange,orange,111
7,1,4,mismatch,green,red,114
7,1,5,match,green,green,103
7,1,6,mismatch,blue,green,103
7,1,7,mismatch,blue,green,103
7,1,8,match,green,green,103
7,1,9,match,orange,orange,111
7,1,10,match,red,red,114
7,1,11,mismatch,orange,blue,98
7,1,12,match,blue,blue,98
7,1,13,match,blue,blue,98
7,1,14,mismatch,orange,blue,98
7,1,15,mismatch,red,orange,111
7,1,16,mismatch,green,red,114
7,2,1,mismatch,green,red,114
7,2,2,match,orange,orange,111
7,2,3,mismatch,red,orange,111
7,2,4,mismatch,blue,green,103
7,2,5,mismatch,orange,blue,98
7,2,6,mismatch,blue,green,103
7,2,7,match,orange,orange,111
7,2,8,match,blue,blue,98
7,2,9,mismatch,green,red,114
7,2,10,match,green,green,103
7,2,11,match,red,red,114
7,2,12,match,red,red,114
7,2,13,mismatch,red,orange,111
7,2,14,mismatch,orange,blue,98
7,2,15,match,green,green,103
7,2,16,match,blue,blue,98
8,1,1,match,blue,blue,98
8,1,2,match,blue,blue,98
8,1,3,match,orange,orange,111
8,1,4,mismatch,green,blue,98
8,1,5,match,green,green,103
8,1,6,match,green,green,103
8,1,7,mismatch,blue,red,114
8,1,8,mismatch,red,orange,111
8,1,9,mismatch,orange,green,103
8,1,10,mismatch,green,blue,98
8,1,11,mismatch,blue,red,114
8,1,12,mismatch,red,orange,111
8,1,13,match,red,red,114
8,1,14,match,orange,orange,111
8,1,15,match,red,red,114
8,1,16,mismatch,orange,green,103
8,2,1,match,blue,blue,98
8,2,2,mismatch,orange,green,103
8,2,3,match,green,green,103
8,2,4,mismatch,blue,red,114
8,2,5,mismatch,orange,green,103
8,2,6,mismatch,green,blue,98
8,2,7,match,orange,orange,111
8,2,8,match,red,red,114
8,2,9,mismatch,red,orange,111
8,2,10,mismatch,red,orange,111
8,2,11,match,blue,blue,98
8,2,12,match,orange,orange,111
8,2,13,mismatch,blue,red,114
8,2,14,mismatch,green,blue,98
8,2,15,match,green,green,103
8,2,16,match,red,red,114
9,1,1,mismatch,red,orange,111
9,1,2,mismatch,orange,red,114
9,1,3,mismatch,green,blue,98
9,1,4,mismatch,orange,red,114
9,1,5,match,green,green,103
9,1,6,mismatch,blue,green,103
9,1,7,match,red,red,114
9,1,8,match,orange,orange,111
9,1,9,match,green,green,103
9,1,10,match,orange,orange,111
9,1,11,match,blue,blue,98
9,1,12,mismatch,green,blue,98
9,1,13,mismatch,blue,green,103
9,1,14,match,blue,blue,98
9,1,15,match,red,red,114
9,1,16,mismatch,red,orange,111
9,2,1,match,blue,blue,98
9,2,2,mismatch,orange,red,114
9,2,3,match,red,red,114
9,2,4,match,orange,orange,111
9,2,5,mismatch,orange,red,114
9,2,6,match,green,green,103
9,2,7,match,orange,orange,111
9,2,8,mismatch,green,blue,98
9,2,9,match,blue,blue,98
9,2,10,match,green,green,103
9,2,11,mismatch,blue,green,103
9,2,12,mismatch,red,orange,111
9,2,13,mismatch,green,blue,98
9,2,14,mismatch,red,orange,111
9,2,15,mismatch,blue,green,103
9,2,16,match,red,red,114
10,1,1,match,blue,blue,98
10,1,2,mismatch,orange,blue,98
10,1,3,match,red,red,114
10,1,4,match,red,red,114
10,1,5,mismatch,green,red,114
10,1,6,match,orange,orange,111
10,1,7,match,green,green,103
10,1,8,mismatch,blue,orange,111
10,1,9,match,orange,orange,111
10,1,10,mismatch,orange,blue,98
10,1,11,mismatch,blue,orange,111
10,1,12,mismatch,green,red,114
10,1,13,mismatch,red,green,103
10,1,14,match,blue,blue,98
10,1,15,match,green,green,103
10,1,16,mismatch,red,green,103
10,2,1,mismatch,red,green,103
10,2,2,match,red,red,114
10,2,3,mismatch,orange,blue,98
10,2,4,mismatch,green,red,114
10,2,5,mismatch,blue,orange,111
10,2,6,mismatch,blue,orange,111
10,2,7,match,orange,orange,111
10,2,8,match,red,red,114
10,2,9,match,green,green,103
10,2,10,match,blue,blue,98
10,2,11,mismatch,orange,blue,98
10,2,12,match,green,green,103
10,2,13,match,blue,blue,98
10,2,14,match,orange,orange,111
10,2,15,mismatch,green,red,114
10,2,16,mismatch,red,green,103
11,1,1,match,green,green,103
11,1,2,match,blue,blue,98
11,1,3,mismatch,green,blue,98
11,1,4,mismatch,orange,red,114
11,1,5,mismatch,red,green,103
11,1,6,match,red,red,114
11,1,7,match,orange,orange,111
11,1,8,match,green,green,103
11,1,9,mismatch,orange,red,114
11,1,10,match,orange,orange,111
11,1,11,match,blue,blue,98
11,1,12,match,red,red,114
11,1,13,mismatch,red,green,103
11,1,14,mismatch,blue,orange,111
11,1,15,mismatch,blue,orange,111
11,1,16,mismatch,green,blue,98
11,2,1,mismatch,green,blue,98
11,2,2,mismatch,orange,red,114
11,2,3,match,orange,orange,111
11,2,4,mismatch,red,green,103
11,2,5,mismatch,green,blue,98
11,2,6,mismatch,blue,orange,111
11,2,7,mismatch,orange,red,114
11,2,8,match,red,red,114
11,2,9,match,green,green,103
11,2,10,match,red,red,114
11,2,11,mismatch,blue,orange,111
11,2,12,mismatch,red,green,103
11,2,13,match,blue,blue,98
11,2,14,match,blue,blue,98
11,2,15,match,orange,orange,111
11,2,16,match,green,green,103
12,1,1,mismatch,red,green,103
12,1,2,mismatch,orange,blue,98
12,1,3,mismatch,blue,red,114
12,1,4,match,red,red,114
12,1,5,mismatch,green,orange,111
12,1,6,mismatch,green,orange,111
12,1,7,match,red,red,114
12,1,8,match,blue,blue,98
12,1,9,match,blue,blue,98
12,1,10,mismatch,orange,blue,98
12,1,11,mismatch,blue,red,114
12,1,12,match,orange,orange,111
12,1,13,mismatch,red,green,103
12,1,14,match,green,green,103
12,1,15,match,green,green,103
12,1,16,match,orange,orange,111
12,2,1,match,orange,orange,111
12,2,2,match,green,green,103
12,2,3,match,blue,blue,98
12,2,4,mismatch,orange,blue,98
12,2,5,match,blue,blue,98
12,2,6,match,green,green,103
12,2,7,mismatch,blue,red,114
12,2,8,match,red,red,114
12,2,9,mismatch,green,orange,111
12,2,10,match,orange,orange,111
12,2,11,mismatch,red,green,103
